Date,Gas Production
3/30/2018,1115.008
3/31/2018,1116.224
4/1/2018,1114.915
4/2/2018,1119.85
4/3/2018,1120.333
4/4/2018,1113.839
4/5/2018,1111.569
4/6/2018,1120.66
4/7/2018,1108.854
4/8/2018,1100.508
4/9/2018,1115.029
4/10/2018,1113.508
4/11/2018,1117.968
4/12/2018,1110.371
4/13/2018,1094.136
4/14/2018,1065.489
4/15/2018,1067.744
4/16/2018,1070.293
4/17/2018,1086.736
4/18/2018,1072.881
4/19/2018,1084.288
4/20/2018,1102.072
4/21/2018,1116.49
4/22/2018,1115.038
4/23/2018,1111.5019
4/24/2018,1112.5203
4/25/2018,1108.7425
4/26/2018,1112.0721
4/27/2018,1093.1492
4/28/2018,1115.754
4/29/2018,1093.8866
4/30/2018,1102.6407
5/1/2018,1033.7039
5/2/2018,1108.602
5/3/2018,1102.393
5/4/2018,1004.632
5/5/2018,1121.142
5/6/2018,1100.058
5/7/2018,861.1645
5/8/2018,0
5/9/2018,1064.647
5/10/2018,1024.321
5/11/2018,988.2629
5/12/2018,1016.091
5/13/2018,1032.192
5/14/2018,1070.737
5/15/2018,1067.289
5/16/2018,1075.636
5/17/2018,1080.348
5/18/2018,1083.593
5/19/2018,1076.521
5/20/2018,1095.403
5/21/2018,1090.959
5/22/2018,1097.6719
5/23/2018,1104.4133
5/24/2018,1096.578
5/25/2018,1090.2276
5/26/2018,1096.855
5/27/2018,1099.0409
5/28/2018,1091.2401
5/29/2018,1105.4385
5/30/2018,1093.0887
5/31/2018,1092.9264
